Date;Open;High;Low;Close;Adj Close;Volume;
19/06/2018;2.884.000;2.895.000;2.868.000;2.893.000;2.893.000;0;
20/06/2018;2.900.000;2.930.000;2.884.000;2.928.000;2.928.000;0;
21/06/2018;2.926.000;2.926.000;2.891.000;2.897.000;2.897.000;0;
22/06/2018;2.913.000;2.928.000;2.897.000;2.900.000;2.900.000;0;
25/06/2018;2.882.000;2.897.000;2.866.000;2.875.000;2.875.000;0;
26/06/2018;2.869.000;2.891.000;2.866.000;2.880.000;2.880.000;0;
27/06/2018;2.866.000;2.866.000;2.826.000;2.827.000;2.827.000;0;
28/06/2018;2.826.000;2.853.000;2.824.000;2.847.000;2.847.000;0;
29/06/2018;2.851.000;2.853.000;2.833.000;2.849.000;2.849.000;0;
2/07/2018;2.829.000;2.871.000;2.829.000;2.866.000;2.866.000;0;
3/07/2018;null;null;null;2.866.000;2.829.000;null;
5/07/2018;2.858.000;2.862.000;2.820.000;2.840.000;2.840.000;0;
6/07/2018;2.829.000;2.836.000;2.811.000;2.831.000;2.831.000;0;
9/07/2018;2.862.000;2.862.000;2.849.000;2.860.000;2.860.000;0;
10/07/2018;2.867.000;2.875.000;2.858.000;2.873.000;2.873.000;0;
11/07/2018;2.844.000;2.866.000;2.838.000;2.842.000;2.842.000;0;
12/07/2018;2.864.000;2.871.000;2.845.000;2.853.000;2.853.000;0;null
13/07/2018;2.844.000;2.845.000;2.827.000;2.831.000;2.831.000;0;
16/07/2018;2.858.000;2.877.000;2.855.000;2.858.000;2.858.000;0;
17/07/2018;2.851.000;2.867.000;2.847.000;2.864.000;2.864.000;0;
18/07/2018;2.851.000;2.875.000;2.847.000;2.875.000;2.875.000;0;
19/07/2018;2.882.000;2.889.000;2.834.000;2.847.000;2.847.000;0;
20/07/2018;2.855.000;2.897.000;2.847.000;2.895.000;2.895.000;0;
23/07/2018;2.888.000;2.965.000;2.888.000;2.965.000;2.965.000;0;
24/07/2018;2.958.000;2.973.000;2.947.000;2.949.000;2.949.000;0;
25/07/2018;2.939.000;2.949.000;2.928.000;2.936.000;2.936.000;0;
26/07/2018;2.967.000;2.976.000;2.947.000;2.975.000;2.975.000;0;
27/07/2018;2.978.000;2.988.000;2.951.000;2.960.000;2.960.000;0;
30/07/2018;2.986.000;2.990.000;2.964.000;2.975.000;2.975.000;0;
31/07/2018;2.954.000;2.969.000;2.945.000;2.964.000;2.964.000;0;
1/08/2018;2.992.000;3.016.000;2.986.000;3.003.000;3.003.000;0;
2/08/2018;2.984.000;3.003.000;2.980.000;2.986.000;2.986.000;0;
3/08/2018;2.979.000;2.984.000;2.951.000;2.953.000;2.953.000;0;
6/08/2018;2.960.000;2.960.000;2.925.000;2.938.000;2.938.000;0;
7/08/2018;2.954.000;2.977.000;2.954.000;2.973.000;2.973.000;0;
8/08/2018;2.977.000;2.986.000;2.958.000;2.971.000;2.971.000;0;
9/08/2018;2.953.000;2.953.000;2.929.000;2.935.000;2.935.000;0;
10/08/2018;2.890.000;2.893.000;2.853.000;2.857.000;2.857.000;0;
13/08/2018;2.864.000;2.890.000;2.862.000;2.877.000;2.877.000;0;
14/08/2018;2.893.000;2.895.000;2.877.000;2.895.000;2.895.000;0;
15/08/2018;2.870.000;2.875.000;2.837.000;2.852.000;2.852.000;0;
16/08/2018;2.873.000;2.893.000;2.859.000;2.871.000;2.871.000;0;
17/08/2018;2.859.000;2.877.000;2.846.000;2.873.000;2.873.000;0;
20/08/2018;2.853.000;2.853.000;2.821.000;2.823.000;2.823.000;0;
21/08/2018;2.844.000;2.853.000;2.833.000;2.844.000;2.844.000;0;
22/08/2018;2.819.000;2.835.000;2.808.000;2.823.000;2.823.000;0;
23/08/2018;2.821.000;2.826.000;2.814.000;2.821.000;2.821.000;0;
24/08/2018;2.832.000;2.850.000;2.817.000;2.826.000;2.826.000;0;
27/08/2018;2.830.000;2.851.000;2.828.000;2.848.000;2.848.000;0;
28/08/2018;2.853.000;2.886.000;2.853.000;2.884.000;2.884.000;0;
29/08/2018;2.873.000;2.899.000;2.871.000;2.884.000;2.884.000;0;
30/08/2018;2.877.000;2.879.000;2.859.000;2.860.000;2.860.000;0;
31/08/2018;2.842.000;2.857.000;2.831.000;2.853.000;2.853.000;0;
4/09/2018;2.869.000;2.906.000;2.868.000;2.902.000;2.902.000;0;
5/09/2018;2.888.000;2.917.000;2.884.000;2.902.000;2.902.000;0;
6/09/2018;2.908.000;2.910.000;2.871.000;2.879.000;2.879.000;0;
7/09/2018;2.889.000;2.950.000;2.886.000;2.942.000;2.942.000;0;
